booking_id,customer_id,hotel_id,room_id,booking_date,check_in_date,check_out_date,lead_time,adults,children,meal_plan,market_segment,booking_status,adr,total_nights,special_requests,booking_channel,discount_percentage,booking_revenue
1,1635,59,1295,2024-07-25,2024-10-09,2024-10-11,76,5,0,Full Board,Online,Canceled,24161,2,4,Walk-in,0,48322
2,3308,89,483,2025-10-14,2025-11-23,2025-12-05,40,2,0,Full Board,Corporate,Canceled,18652,12,5,Website,19,223824
3,4723,24,1572,2026-05-06,2026-05-20,2026-06-04,14,5,2,Breakfast,Travel Agent,Canceled,13303,15,3,Travel Agent,17,199545
4,1983,100,911,2026-04-02,2026-04-16,2026-04-23,14,3,3,Full Board,Travel Agent,Canceled,14014,7,4,Walk-in,26,98098
5,831,49,608,2026-02-08,2026-03-07,2026-03-18,27,2,3,Breakfast,Online,Confirmed,17525,11,3,Walk-in,37,192775
6,2546,10,1855,2024-12-16,2025-02-02,2025-02-17,48,4,0,Half Board,Travel Agent,Canceled,7530,15,3,App,20,112950
7,2236,94,1515,2025-02-18,2025-04-12,2025-04-23,53,2,1,Half Board,Online,Confirmed,11127,11,0,Website,1,122397
8,4288,26,1421,2025-10-06,2025-10-28,2025-11-08,22,1,2,Full Board,Online,Canceled,21241,11,0,Website,5,233651
9,373,11,1325,2025-11-23,2025-12-05,2025-12-17,12,4,2,Half Board,Corporate,Checked Out,7234,12,4,Website,20,86808
10,3574,13,1205,2024-11-08,2025-02-04,2025-02-12,88,3,1,Breakfast,Online,Confirmed,21633,8,5,Website,11,173064
11,1263,34,1753,2024-07-14,2024-08-16,2024-08-22,33,4,0,Full Board,Online,Checked Out,20662,6,3,Website,37,123972
12,2974,58,552,2025-10-04,2025-10-28,2025-11-05,24,2,3,Full Board,Corporate,Confirmed,19954,8,2,Walk-in,11,159632
13,498,23,791,2024-11-13,2025-02-08,2025-02-13,87,5,0,Full Board,Corporate,Checked Out,18132,5,2,Travel Agent,25,90660
14,1079,1,991,2026-01-23,2026-03-20,2026-03-30,56,2,4,Half Board,Offline,Confirmed,23507,10,1,Website,33,235070
15,4168,53,1930,2026-02-20,2026-05-14,2026-05-22,83,2,1,Half Board,Corporate,Canceled,3834,8,1,Travel Agent,23,30672
16,4666,84,42,2025-04-03,2025-04-09,2025-04-18,6,2,4,Full Board,Corporate,Canceled,8648,9,5,Website,8,77832
17,16,20,924,2024-12-10,2025-02-20,2025-02-25,72,5,1,Half Board,Offline,Checked Out,12125,5,3,Walk-in,39,60625
18,3751,77,114,2024-08-26,2024-10-03,2024-10-05,38,3,2,Half Board,Corporate,Confirmed,12611,2,2,App,31,25222
19,3284,82,37,2025-07-10,2025-09-30,2025-10-10,82,4,0,Full Board,Offline,Confirmed,8463,10,5,App,0,84630
20,1412,77,968,2025-05-30,2025-08-26,2025-08-27,88,5,0,Half Board,Travel Agent,Checked Out,3451,1,4,App,40,3451
21,2569,26,10,2024-09-03,2024-10-08,2024-10-15,35,5,1,Breakfast,Offline,Confirmed,13291,7,0,App,32,93037
22,172,27,1628,2025-05-09,2025-07-19,2025-07-21,71,3,4,Breakfast,Offline,Checked Out,16065,2,1,App,10,32130
23,2499,34,284,2024-11-07,2025-01-10,2025-01-13,64,3,0,Half Board,Online,Checked Out,10389,3,1,Website,16,31167
24,4874,35,1110,2025-12-12,2026-02-20,2026-03-02,70,2,1,Breakfast,Offline,Confirmed,24239,10,1,Walk-in,27,242390
25,4782,73,911,2025-11-24,2026-01-14,2026-01-16,51,1,0,Full Board,Online,Checked Out,22717,2,3,App,9,45434
26,1858,58,1919,2024-07-23,2024-08-07,2024-08-11,15,3,1,Breakfast,Corporate,Canceled,24075,4,5,Walk-in,19,96300
27,1265,62,58,2024-08-16,2024-09-18,2024-09-26,33,1,2,Full Board,Travel Agent,Canceled,7300,8,2,App,11,58400
28,3707,26,66,2024-06-01,2024-08-25,2024-08-31,85,2,3,Half Board,Corporate,Checked Out,23097,6,0,App,28,138582
29,1189,94,104,2025-08-22,2025-09-26,2025-10-10,35,1,3,Full Board,Online,Checked Out,10284,14,4,App,0,143976
30,1993,56,1530,2024-07-03,2024-09-23,2024-10-01,82,4,3,Half Board,Corporate,Checked Out,18974,8,4,Travel Agent,31,151792
31,3833,30,464,2026-04-10,2026-04-22,2026-05-04,12,2,2,Breakfast,Offline,Canceled,13393,12,4,Website,11,160716
