cancellation_id,booking_id,cancellation_date,cancellation_reason,refund_amount,refund_status,cancellation_source
1,1159,2024-07-22,Personal Issue,9669,Processed,Hotel
2,4122,2026-01-01,Emergency,43589,Processed,Customer
3,8997,2025-06-23,Price Change,46572,Processed,System
4,8893,2025-05-16,Travel Restriction,4544,Processed,System
5,7543,2025-09-07,Schedule Conflict,47253,Pending,Customer
6,5170,2025-11-27,Schedule Conflict,33552,Pending,Customer
7,214,2025-10-31,Travel Restriction,35475,Processed,Customer
8,10881,2024-11-14,Health Issue,19967,Processed,Hotel
9,11227,2025-03-07,Price Change,38579,Processed,System
10,2847,2025-05-18,Travel Restriction,20801,Pending,Customer
11,9745,2026-01-11,Emergency,13024,Pending,System
12,460,2025-11-14,Travel Restriction,3957,Pending,Customer
13,2086,2026-02-11,Travel Restriction,30911,Pending,System
14,9915,2024-08-09,Emergency,25301,Processed,Customer
15,8483,2025-06-24,Health Issue,38066,Pending,System
16,4927,2024-12-03,Travel Restriction,28965,Processed,System
17,6958,2024-09-30,Emergency,31206,Pending,Hotel
18,10910,2026-05-05,Health Issue,42472,Pending,Hotel
19,6961,2026-02-04,Personal Issue,25536,Processed,Customer
20,1141,2024-12-17,Health Issue,32257,Processed,Customer
21,5196,2024-09-16,Emergency,47595,Pending,Hotel
22,1159,2024-09-26,Health Issue,45801,Processed,Customer
23,1408,2026-04-11,Schedule Conflict,34939,Pending,System
24,1468,2025-12-28,Schedule Conflict,2867,Processed,System
25,1398,2026-01-15,Health Issue,34862,Processed,Hotel
26,9420,2024-08-04,Health Issue,8262,Processed,Hotel
27,7072,2024-12-11,Emergency,10316,Processed,Hotel
28,8923,2024-07-27,Travel Restriction,28809,Processed,Hotel
29,2889,2026-03-12,Price Change,39694,Processed,Hotel
30,3279,2024-05-27,Price Change,4681,Processed,Customer
31,11056,2025-12-24,Personal Issue,20819,Processed,Customer
32,751,2025-10-30,Personal Issue,38225,Processed,Hotel
33,11771,2024-06-30,Emergency,19351,Pending,Customer
34,7057,2026-01-10,Emergency,26335,Pending,Customer
35,2857,2025-06-27,Schedule Conflict,47271,Processed,Customer
36,10225,2026-04-18,Health Issue,49633,Pending,Customer
37,5243,2025-12-23,Emergency,13514,Processed,Hotel
38,3130,2025-02-09,Travel Restriction,4334,Pending,System
39,3094,2025-02-23,Health Issue,49776,Processed,Customer
40,1003,2025-08-06,Emergency,10244,Processed,System
41,11096,2025-08-10,Travel Restriction,38783,Processed,System
42,5697,2026-02-10,Travel Restriction,22981,Pending,Hotel
43,1513,2026-03-16,Travel Restriction,20349,Pending,Customer
44,7091,2025-06-11,Travel Restriction,10908,Processed,Hotel
45,1063,2025-01-14,Emergency,23117,Pending,Hotel
46,9047,2025-06-09,Personal Issue,23771,Pending,Hotel
47,6651,2024-09-21,Schedule Conflict,25916,Processed,Hotel
48,1197,2025-08-08,Schedule Conflict,4854,Pending,Hotel
49,6524,2025-08-20,Price Change,5803,Pending,System
50,11174,2025-08-04,Schedule Conflict,4670,Pending,Customer
51,4816,2024-08-06,Price Change,38606,Processed,System
52,4079,2024-12-21,Travel Restriction,5609,Processed,Customer
53,6979,2024-06-27,Emergency,2222,Pending,System
54,8039,2026-03-11,Travel Restriction,31385,Pending,System
55,5150,2024-05-29,Emergency,43948,Processed,Hotel
56,9448,2025-02-19,Health Issue,33463,Pending,System
57,3871,2026-03-10,Price Change,27011,Processed,Customer
58,11187,2025-08-17,Price Change,22653,Processed,Hotel
59,9057,2024-07-11,Personal Issue,4465,Processed,Customer
60,7511,2026-02-22,Travel Restriction,1021,Processed,Customer
61,1048,2025-01-06,Emergency,10007,Pending,Customer
62,4545,2025-06-04,Travel Restriction,21420,Pending,System
63,4752,2025-01-06,Price Change,39913,Pending,Customer
64,4946,2024-05-31,Schedule Conflict,21031,Pending,System
65,4227,2026-01-11,Personal Issue,42011,Processed,Hotel
66,3702,2025-08-12,Price Change,46181,Pending,Hotel
67,7177,2024-12-01,Personal Issue,5029,Processed,System
68,11859,2026-05-05,Emergency,36341,Processed,System
69,635,2024-10-17,Travel Restriction,12444,Processed,Hotel
70,5153,2025-07-28,Price Change,25792,Pending,System
71,11002,2025-01-09,Personal Issue,3071,Processed,Customer
72,10007,2024-12-14,Health Issue,4533,Pending,System
73,10831,2026-04-28,Emergency,27395,Pending,Hotel
74,2549,2025-07-11,Price Change,47251,Processed,Hotel
75,738,2024-07-03,Schedule Conflict,44310,Processed,Hotel
76,1290,2024-09-23,Travel Restriction,44617,Pending,Hotel
77,4137,2025-01-19,Schedule Conflict,23606,Processed,Hotel
78,7145,2026-01-19,Price Change,43815,Processed,Hotel
79,8853,2024-12-11,Personal Issue,37976,Pending,System
80,2887,2026-01-21,Travel Restriction,41707,Processed,Hotel
81,3844,2026-04-24,Price Change,33079,Pending,Customer
82,2381,2024-09-22,Travel Restriction,15658,Pending,Customer
83,9383,2025-11-27,Schedule Conflict,42844,Processed,System
84,10288,2026-04-20,Health Issue,23011,Pending,System
85,6838,2024-10-20,Schedule Conflict,12416,Processed,Customer
86,5044,2025-05-06,Health Issue,45090,Processed,Customer
87,7391,2024-11-15,Personal Issue,20432,Pending,Hotel
88,6935,2025-08-17,Schedule Conflict,36155,Pending,Hotel
89,5283,2025-01-15,Emergency,11988,Pending,System
90,3399,2024-09-11,Personal Issue,10426,Processed,Hotel
91,9101,2026-03-12,Health Issue,17805,Pending,System
92,2293,2024-10-11,Price Change,40568,Pending,System
93,8960,2024-12-26,Emergency,39356,Pending,System
94,10464,2025-04-04,Personal Issue,9199,Pending,Hotel
95,4039,2026-01-24,Emergency,35173,Processed,Customer
96,11588,2026-02-13,Travel Restriction,16183,Processed,System
97,11840,2025-07-21,Schedule Conflict,36630,Pending,Hotel
98,11815,2025-05-19,Personal Issue,18599,Pending,Customer
99,6464,2024-09-30,Schedule Conflict,44608,Pending,System
100,1072,2024-10-20,Emergency,10041,Processed,System
101,5472,2025-05-12,Emergency,36226,Pending,System
102,8921,2025-02-11,Schedule Conflict,27984,Pending,Hotel
103,11698,2024-11-12,Schedule Conflict,42342,Processed,System
104,10053,2026-02-11,Emergency,39611,Processed,Hotel
105,11396,2026-03-23,Travel Restriction,16988,Processed,System
106,4361,2024-07-20,Health Issue,12095,Pending,Customer
107,3581,2024-11-18,Emergency,38244,Pending,System
108,8640,2025-03-20,Schedule Conflict,36421,Pending,Customer
109,7570,2025-03-09,Health Issue,32736,Pending,System
110,1582,2025-10-20,Price Change,16714,Processed,System
111,11198,2026-03-27,Price Change,27490,Pending,Customer
112,4735,2026-03-09,Health Issue,43705,Pending,Customer
113,5614,2024-09-11,Emergency,47291,Processed,Customer
114,527,2025-05-15,Travel Restriction,4727,Processed,Customer
115,5148,2025-01-06,Travel Restriction,19708,Pending,Hotel
116,6063,2025-12-21,Price Change,4493,Processed,System
117,1433,2025-01-26,Personal Issue,14168,Processed,Hotel
118,918,2024-11-10,Price Change,31836,Processed,Hotel
119,5456,2026-04-02,Health Issue,45636,Processed,Hotel
120,870,2025-05-25,Health Issue,1946,Pending,Hotel
121,4675,2024-12-29,Travel Restriction,32929,Processed,System
122,11919,2024-05-17,Health Issue,41431,Processed,System
123,8875,2025-12-09,Personal Issue,33465,Pending,Customer
124,10658,2026-01-07,Schedule Conflict,4288,Pending,System
125,8031,2025-12-14,Travel Restriction,32523,Processed,Customer
126,4806,2024-12-05,Health Issue,49689,Processed,System
127,3792,2025-11-03,Travel Restriction,43663,Processed,Hotel
128,7770,2025-05-06,Schedule Conflict,36844,Processed,System
129,3332,2025-07-16,Price Change,24691,Pending,System
130,7872,2026-04-19,Price Change,27684,Processed,System
131,10954,2025-08-06,Emergency,5028,Pending,Customer
