payment_id,booking_id,payment_date,payment_method,payment_amount,payment_status,transaction_fee,currency
1,10138,2025-12-24,Card,12658,Pending,324,INR
2,5333,2025-09-12,UPI,74114,Pending,302,INR
3,8996,2024-09-09,Card,40742,Pending,316,INR
4,3626,2024-11-17,Cash,96312,Refunded,453,INR
5,10771,2025-09-18,Net Banking,83762,Refunded,476,INR
6,6887,2025-07-04,UPI,88465,Pending,288,INR
7,2952,2025-06-30,UPI,27309,Pending,494,INR
8,10187,2026-01-25,UPI,12669,Paid,181,INR
9,1881,2025-01-31,Card,72526,Refunded,280,INR
10,6810,2024-09-11,Net Banking,12860,Paid,96,INR
11,4850,2024-11-18,Card,84698,Paid,332,INR
12,10723,2024-10-07,Net Banking,90115,Pending,152,INR
13,8024,2024-08-18,UPI,46496,Paid,381,INR
14,2811,2025-12-06,Cash,46985,Pending,188,INR
15,5992,2025-07-08,Cash,22251,Pending,421,INR
16,2266,2024-08-24,UPI,47749,Paid,443,INR
17,1865,2025-10-24,Card,8993,Paid,242,INR
18,5605,2025-11-03,Net Banking,21357,Paid,395,INR
19,2877,2025-03-14,Card,72793,Pending,296,INR
20,3280,2025-07-19,UPI,41987,Pending,246,INR
21,6890,2026-01-05,Cash,66331,Pending,131,INR
22,9779,2025-08-31,Card,12693,Refunded,213,INR
23,10961,2024-12-16,Net Banking,47575,Refunded,266,INR
24,8008,2025-07-15,Cash,99916,Refunded,402,INR
25,5338,2024-10-06,Cash,97723,Pending,225,INR
26,9977,2025-07-15,UPI,7259,Paid,176,INR
27,9307,2026-04-30,Card,56881,Pending,466,INR
28,3889,2025-11-05,Cash,22112,Pending,426,INR
29,2953,2025-04-26,UPI,25282,Refunded,347,INR
30,11622,2024-12-16,Card,34623,Refunded,405,INR
31,11768,2025-09-20,Net Banking,28088,Refunded,386,INR
32,465,2025-01-05,UPI,41669,Refunded,49,INR
33,5083,2026-04-03,Cash,70038,Refunded,369,INR
34,8605,2024-12-01,Net Banking,24186,Paid,480,INR
35,1643,2024-09-17,Cash,46940,Paid,27,INR
36,1048,2025-07-25,Cash,85236,Refunded,135,INR
37,8626,2025-09-05,Card,94594,Paid,175,INR
38,4377,2025-09-15,UPI,15298,Pending,33,INR
39,10551,2026-04-18,Cash,31477,Paid,166,INR
40,7479,2025-10-21,Cash,69301,Refunded,154,INR
41,2163,2024-07-14,Card,30705,Pending,95,INR
42,5693,2024-12-23,UPI,63986,Refunded,324,INR
43,6997,2025-09-22,Cash,61480,Pending,480,INR
44,3221,2024-07-16,Cash,7605,Pending,173,INR
45,2051,2026-02-05,Net Banking,84837,Paid,205,INR
46,7752,2024-08-13,Net Banking,56853,Refunded,221,INR
47,11596,2025-01-26,Net Banking,62168,Pending,142,INR
48,2357,2025-01-20,Card,26210,Refunded,213,INR
49,7091,2024-08-14,Net Banking,92183,Paid,213,INR
50,855,2025-06-17,Card,24298,Paid,96,INR
51,5156,2026-02-22,Cash,23657,Pending,297,INR
52,8352,2026-05-01,Card,25261,Paid,272,INR
53,8718,2026-02-24,UPI,65902,Paid,430,INR
54,10464,2026-04-09,UPI,72486,Paid,90,INR
55,6831,2025-07-17,Cash,22240,Pending,209,INR
56,11103,2025-10-15,Card,31031,Pending,134,INR
57,326,2024-12-04,Card,39204,Refunded,114,INR
58,10971,2025-06-10,Cash,70303,Refunded,419,INR
59,3769,2025-04-09,Net Banking,36982,Pending,227,INR
60,4385,2025-03-25,Cash,30631,Refunded,121,INR
61,11380,2025-11-04,UPI,37688,Refunded,279,INR
62,5278,2024-11-08,Card,4946,Paid,385,INR
63,1694,2024-06-26,Card,29475,Paid,98,INR
64,7408,2024-08-31,Card,25224,Pending,344,INR
65,5856,2024-08-13,Cash,12796,Paid,491,INR
66,11069,2026-03-17,Cash,41207,Pending,153,INR
67,4172,2024-06-17,Card,7541,Pending,189,INR
68,4231,2024-08-27,UPI,40117,Refunded,348,INR
69,3961,2025-08-31,Cash,91615,Pending,454,INR
70,353,2025-05-23,Net Banking,16288,Pending,341,INR
71,2385,2025-11-11,Card,74281,Paid,324,INR
72,11022,2025-12-10,Card,78967,Paid,395,INR
73,6930,2026-01-25,Cash,55455,Pending,209,INR
74,4032,2024-09-07,Card,81031,Pending,213,INR
75,11001,2026-03-31,Card,31115,Refunded,270,INR
76,8801,2025-11-16,UPI,96790,Paid,194,INR
77,11980,2025-12-22,UPI,31577,Refunded,223,INR
78,2031,2025-07-15,Card,43474,Pending,137,INR
79,8062,2025-11-28,UPI,45268,Paid,42,INR
80,10944,2025-05-22,Card,26622,Refunded,244,INR
81,10704,2026-03-04,Cash,62696,Paid,355,INR
82,2628,2025-08-09,Cash,72515,Pending,98,INR
