review_id,booking_id,customer_id,hotel_rating,service_rating,cleanliness_rating,food_rating,review_text,review_date
1,11323,3344,3.4,3,2.5,3.3,Attorney need try reason top send but make government.,2024-08-01
2,11812,2362,1,1.9,4.1,4.4,Final chance school nice any teach value build program six begin future draw film artist anything nearly gas.,2025-03-21
3,2421,2421,4.3,4,3.4,3.3,It whether student represent top decision build your recognize produce future blood poor protect whether.,2025-09-11
4,8231,933,4.5,1.7,4.7,4.5,Role seek because statement never series politics space some deal whom clear effect individual maintain could analysis take.,2025-11-13
5,7361,3235,4.8,2.2,2.2,3.1,Woman issue although hold attorney knowledge director check can Democrat friend throughout bad rather necessary window step include truth.,2026-03-16
6,6723,4316,2.9,3.9,2.1,2.5,Economy television ever half step us you employee during pretty author foreign.,2025-02-16
7,5148,77,4.5,3.3,3.6,1,Article include safe vote blood protect tend draw job respond tell issue increase author protect nor really beautiful.,2024-11-16
8,4338,4571,2.3,3.3,3.8,2.7,Alone time notice whom institution wrong hair learn save five its cost beyond expert debate leave church pass.,2026-03-24
9,10190,522,3.1,3.6,3.8,2.5,Feeling notice history war increase science office soldier market wonder describe.,2025-10-20
10,3542,2230,1.1,2.9,3.3,1.2,Conference safe city middle until believe move those Republican two feeling military.,2026-03-31
11,5229,3991,4.8,3,1.4,5,Board company a eye within change ball marriage cultural lead accept rock force view she war together.,2026-01-18
12,3313,4247,1.6,3.6,1.4,4,Season answer security break or doctor look film positive ago smile skin director more morning least.,2025-08-31
13,6521,1975,4.6,1.7,1.5,1,Unit get front business protect hand lay kind nearly.,2024-07-07
14,10576,3926,2,2.7,1.5,4.7,Early never TV size agent less ever cut year find decide itself choose.,2025-01-02
15,11066,4971,4.9,3.1,2.7,1.7,North final agree travel visit send yes American everyone century.,2025-11-22
16,3339,2108,1.5,4.5,3.6,4.5,Technology adult guy order himself turn doctor best number crime single decide.,2024-07-02
17,2382,3795,2.1,1.7,2.1,1.4,Ago price oil board culture approach if some message good down player traditional fund resource change decade.,2025-10-12
18,9090,3578,4.8,3.3,3.7,4.2,Throughout act woman production check wind important audience avoid film hear car argue.,2025-02-04
19,7331,2633,1.6,1.8,1.9,1,Check on piece investment world become clearly enjoy about stuff.,2024-12-25
20,1317,578,3.5,1.8,2.9,2,Watch near what radio pretty either ago attack meeting family possible officer my either show.,2025-08-09
21,2701,1453,2.5,4.9,2.5,4.4,Democrat send plan receive me face her doctor them argue treat also radio single.,2025-03-02
22,3668,1835,3.2,3.3,2.6,4.3,Sell arrive light study forget marriage today between help network learn.,2025-11-16
23,11985,142,4.3,3.5,3.8,4,Beyond office rest time far above create customer newspaper go pretty writer her traditional.,2024-08-27
24,2860,899,2.5,1.8,1,3.2,Glass ok nice whatever lose increase feel food involve remain good money situation moment important fear resource.,2026-03-29
25,10438,1990,2.1,2.6,5,3.3,Conference drug thought walk half news station television might according eight fine take director fine performance marriage own gun.,2024-08-15
26,5183,4046,3.2,2.8,3,4.9,Firm place pass poor population deal available resource kind quality team reach wife.,2024-06-03
27,1747,1450,4.2,2,3.2,3.4,Phone let it main back forget left western light beautiful ask he strong while since why none base seek.,2025-06-01
28,940,4757,4.5,1.3,1.8,2.1,Believe protect clear window yourself painting stock concern production court class around.,2024-06-06
29,8414,1625,1.4,3.9,1.7,1.2,Security leg week kitchen they type office mind a.,2025-12-02
30,7028,2857,3.2,3.6,4.1,2,Book middle back can hand already him about sound final join never base government suddenly improve upon state.,2024-07-04
31,4517,3817,3.9,2.6,3.8,1.2,Use wonder this chair wear seek coach her about here open edge box audience garden address space commercial.,2025-02-26
32,795,2274,4.4,2.2,4.4,2.5,Often head wear sea day inside nothing leader social sea store officer material bag collection offer.,2026-03-31
33,5860,863,5,2.4,4.6,3.6,Pay per actually budget character watch economic street only investment traditional name song idea life book trip.,2024-06-29
34,5432,3847,1.9,4,4.1,2.4,Report government many forget only less knowledge while those public analysis word make defense.,2024-11-20
35,6590,1530,1.9,4.9,1.8,4.3,Indeed sister person treat trip face place technology government walk strategy task partner young far best agree hour.,2025-02-14
36,4378,4650,4.4,4.2,4.5,4.3,All put keep structure world degree under back use impact job six significant evidence land late friend rise Mr.,2024-08-15
37,7211,1098,3.2,3.8,3.9,3.4,Or number environment follow win easy community mind policy culture high difficult case state make worker money officer up list.,2024-11-05
38,7164,524,4.5,1.2,2.5,1,Myself care ball author small wait see character everybody course top floor blue drive.,2024-08-10
39,6449,1038,4.2,1.7,4,2.9,Part drive trouble hold there if particular remain sound huge attention.,2025-04-14
40,7797,1152,1.7,4.2,5,4.6,Fall item second national base study weight find space on travel PM it perform draw plan back suggest.,2024-10-06
41,1436,675,1.6,2.5,3.6,4.6,Herself allow station not piece various fact room sister senior many material so fire.,2026-04-02
42,10419,332,3.6,1.1,1.6,1.7,Law child step rule add general tax room door wide want along.,2025-01-20
43,6875,2159,1.4,2.5,2.7,3,Walk tree floor draw different answer give page work people country.,2024-09-08
44,1844,4270,4.9,4.7,1.6,1.6,It music at audience different pass cell chance work rate wish say break per cost statement second without.,2026-03-13
45,703,3903,1.1,1.2,2.9,4.6,Meet food anything mouth fly building one three identify sense soon whatever wall star behavior participant per.,2026-02-25
46,8288,4188,1.9,1.8,3.5,3.5,Board receive speak develop poor here day relate fine simple control such girl boy music.,2025-02-17
47,9307,2790,4.7,4.4,1.3,1.5,Service write air small yes president audience rise artist card main prepare on east whatever ten indicate agent.,2024-06-22
48,11639,1075,3.3,4.5,3.5,1.9,Door themselves fish citizen training meet hot message investment argue someone.,2024-07-09
49,5415,7,1.2,3.9,2.3,4.6,Eat doctor well should white traditional budget in recent official later ground.,2024-05-19
50,4868,4848,3.6,4,1.2,3.6,Defense late strong surface key skill as change value sister leave recent.,2025-11-23
51,747,4629,3.6,2.7,1.1,3.5,Itself color race theory assume data federal about professor south almost section instead.,2026-01-12
52,7525,3561,4.9,2.6,3.5,2.8,Drive enough pull decide beautiful well experience heavy your understand must room five among while task citizen else.,2026-03-03
53,6045,2556,1.3,1.9,4.6,2.6,Beat build data although economic significant stage Congress finally space movie administration crime guess smile control a.,2026-01-27
54,5862,619,2.3,3.3,3,1.5,Environment make account production remain future expert speak foot each loss piece thought.,2025-01-05
55,7939,618,1.5,2.8,1.2,4.5,Still tonight like where stock up fund fill necessary month song.,2026-02-13
56,5693,822,2,2.7,1.6,3.8,Message language door know quickly impact large him grow ever entire whose piece fast yes.,2025-07-24
57,7767,1633,3.2,1.1,3.5,2.2,Situation blue prepare and break break my himself on world own southern hit body girl strategy plan.,2024-11-17
58,10629,4795,2.1,2.2,1.2,2.1,Friend yeah family build method career kid individual education seat painting art body wear company.,2025-06-21
59,5857,14,3.7,1.1,3.4,3.4,Low building main individual although machine positive old nation strategy hand fast bad Democrat.,2024-05-20
60,9538,3047,2.6,2.2,5,2.9,Establish evidence trial heart cold agent daughter last she born pattern push smile movement page hand music.,2024-08-23
61,3179,262,1.9,2.8,3.5,2.3,Community real six office point in own there prove ten hospital prepare evening.,2025-03-15
62,1874,1326,2,4.5,5,2.6,Beyond as happen fact evidence state finish democratic his current marriage our director approach decade citizen clear doctor.,2025-09-02
63,2810,255,3.7,4.6,1.4,4.4,White word wear wall year author become single eye decade.,2025-02-16
64,9807,2838,2.5,4.9,4.2,3.1,Trip body other morning fight possible knowledge outside certain.,2025-06-21
65,3169,3155,4.1,4.9,4.6,1.9,Special student democratic model dream mind perhaps your lose.,2025-02-14
66,243,4886,1.9,4,3,3.7,Good too use simply note end lose throughout could role whole more young free music.,2025-02-05
67,7618,856,4.7,3.5,4.9,3.6,Forget way right federal Congress change stop entire on to involve detail short wear administration top.,2026-01-09
68,7862,2662,4,4.4,3.4,3.6,History health today accept mother collection enough number hair group real hour subject today authority rule fill good.,2025-05-18
69,2249,4723,3.4,1.3,4.6,4.6,Gas accept course art Mr per toward year model.,2025-12-01
70,5044,3980,1.8,4.7,2.1,1.3,Like night bar two paper drive health create benefit keep hotel include support area number thus once benefit.,2025-01-08
71,9751,4204,2.4,1.6,3.6,3.2,Do back lot brother traditional best into collection health our year total.,2025-09-08
72,5578,872,1.4,1.4,2.5,2.6,Report standard receive star themselves performance government month fire necessary.,2024-10-25
73,1736,4350,2.5,3.6,2.1,1.7,Billion land six miss them hope indicate reach yes PM then plant author lead debate.,2025-01-26
74,4428,2077,1.8,1,1.6,2.9,Too example specific series fact situation pull parent quickly.,2024-08-11
75,8674,3630,2.3,2.3,1.5,3.3,Method today require accept show kind miss well whose general affect house development night push from.,2026-03-11
76,4543,4951,4.1,4.5,4,4.1,Score begin call at beyond sister for member seem tell none keep apply article fine.,2025-09-29
77,645,3671,1.3,4.9,2.5,4.6,Never into interest prove fight force teach radio half their.,2025-06-20
78,11781,781,1.3,2.8,1,3,Similar boy year law old surface effect radio Congress ball.,2024-05-19
79,1398,3973,1.8,2.1,4.4,2.8,Want less something work coach Republican conference member trade.,2025-02-06
80,7385,3901,3.5,2.6,1.7,3.1,Peace fill magazine window analysis he along near star street recently relationship again all decade.,2024-10-17
81,11792,370,2.3,2.9,1.7,4.5,Character establish material candidate table born result half media something either sell science everybody health.,2024-09-28
82,3115,805,1.6,3.3,3.6,1.7,Stage rather low someone less hour security think my dinner speech put design policy world see energy responsibility.,2025-06-27
83,11201,2846,3.5,3.3,1,3.8,Read explain east alone each throughout local its himself most spring manage similar keep increase region born.,2024-11-23
84,3646,2530,4.7,4.1,1.9,4.7,Congress note cover same safe us factor walk involve send class skill reality art.,2026-04-16
